mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,spec_cent_mean,spec_cent_std,spec_bw_mean,spec_bw_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,label
-329.97104,149.67195,87.86125,61.801453,3.6100898,33.890102,41.609016,31.12324,10.473116,22.008387,15.408553,15.849245,-5.8751836,18.37205,6.0594177,12.797769,-0.38538983,14.788232,8.341185,11.997963,-6.3364673,14.518254,-1.7256957,10.2139635,-10.500756,12.555553,1850.884451,1230.404358,1929.049812,550.3062202,3617.841318,2106.590898,0.095285175,0.099118534,0.04855421,0.043854713,German
-325.10498,148.62474,82.136765,63.66274,5.5693626,29.351023,38.70481,30.334518,9.683912,22.539145,16.157288,15.780766,1.8981633,16.098642,10.585336,12.187063,2.6522005,13.284591,6.116914,11.801482,-6.4831634,15.611642,0.5102559,10.1248045,-3.996317,12.473581,1779.144732,1233.962578,1959.15686,599.0286299,3558.570772,2234.345159,0.082389401,0.091531002,0.053935785,0.04923312,German
-300.19278,144.43657,88.36856,63.328278,8.2892,32.319946,42.451374,32.57241,11.423512,24.857603,17.666164,17.15385,-3.6731856,17.997522,5.292843,12.164237,-0.4480302,14.31175,5.4017105,13.089738,-5.5643435,15.273525,0.78146476,10.64728,-8.377583,12.782449,1795.800175,1211.608847,1950.371281,597.1668411,3590.256557,2179.903301,0.08673881,0.092992636,0.07184625,0.0602836,German
-267.41544,157.19272,82.65079,62.016098,6.3615265,26.198574,27.930204,26.912727,21.618563,24.697788,11.388587,15.850923,4.174986,13.157448,5.8570943,12.0903,-14.2451515,13.5342245,-4.526414,12.592701,-13.391761,14.924705,10.381292,10.940309,-6.624909,10.313408,2236.691043,1133.936927,2333.28527,508.9702434,4508.90912,2312.40893,0.11800083,0.086612219,0.07596227,0.06529014,German
-258.4545,144.54126,85.40032,63.5898,5.732614,25.317497,26.711983,26.259846,23.942034,24.82962,9.665676,14.00608,1.3872639,12.756625,3.355987,12.818619,-13.174677,13.645777,-4.2446227,12.495928,-10.742021,14.840565,8.861456,10.021905,-8.245767,11.039975,2120.334357,1168.259551,2237.750314,587.5454484,4230.592136,2392.362339,0.112002783,0.088730548,0.0825956,0.072131194,German
-237.25288,117.14749,90.56645,57.550064,10.197368,30.059654,33.373844,28.615643,28.228247,25.653337,14.0939455,15.52317,-1.2475066,13.807997,4.0646143,13.157295,-15.406317,12.749262,-5.111083,12.816139,-11.35111,13.845772,6.906978,10.346321,-12.067155,11.147066,2073.259327,1209.68157,2242.020759,567.6605353,4073.809934,2467.786223,0.110328159,0.09315636,0.08932826,0.06865768,German
-239.64369,130.54001,78.26564,63.12177,6.030964,30.437452,36.182137,29.129715,25.588934,25.748005,13.475484,15.848648,-1.6364503,13.962908,5.0548487,12.72616,-15.235934,13.011304,-3.5022607,12.808832,-12.338055,14.532796,5.7404413,10.195364,-9.165902,10.989899,2229.490645,1235.455937,2246.168936,509.3504943,4374.942985,2366.656761,0.121577146,0.096902691,0.090177104,0.07258505,German
-268.2272,150.30501,75.49958,59.9631,8.6917305,26.961098,33.462883,27.985527,25.530718,26.357079,11.426251,15.191948,0.9131789,12.771616,4.50883,13.035219,-14.066138,14.174864,0.26688352,11.178769,-13.54696,14.970932,6.48289,9.603849,-9.183865,11.397583,2304.48771,1192.937712,2360.966339,554.0985491,4664.988428,2371.353777,0.121334437,0.09331234,0.07651849,0.06553678,German
-234.99858,106.24267,78.11042,67.89199,7.965252,35.625336,19.454985,28.130726,-9.77991,18.47277,-5.012855,18.649923,-15.187607,13.789259,0.14041872,14.078637,-16.08566,13.083808,-2.0703964,14.586816,-18.88345,11.4617195,-5.2462506,12.724692,-9.675715,9.9547415,2544.918159,1962.83715,2050.634779,717.4035468,4447.926755,2860.594889,0.168165717,0.166135581,0.094356045,0.06585698,German
-210.05367,102.98358,80.71179,61.801414,0.92860067,36.53407,18.112257,28.717424,-12.674449,21.063854,-10.009606,19.473774,-17.758045,14.252931,0.48244005,13.687592,-17.297466,14.417638,-3.9359553,13.677544,-17.649055,11.101808,-6.0896254,12.83526,-7.4743056,10.297845,2495.908249,1860.80069,2062.5742,657.2494262,4446.062439,2689.473438,0.164136729,0.16337142,0.11869317,0.078582056,German
-213.4197,128.26262,72.06705,66.2334,3.5814054,33.702385,14.867938,27.308172,-12.729205,20.218605,-1.7559141,17.184961,-15.887213,14.940733,-0.2558833,13.659065,-12.639033,13.452714,-5.3981037,15.349408,-13.089901,11.494807,-5.6380987,12.079529,-8.484022,9.654678,2409.889116,1894.148947,1976.683186,820.5079919,4282.477703,2893.583109,0.157385794,0.159680914,0.13504334,0.105245836,German
-294.46375,164.017,64.89042,53.619415,7.2902503,28.983992,13.045549,22.197018,1.3314748,18.67223,6.1237054,15.72451,-8.90775,18.407173,4.4983783,13.422755,-8.519331,16.822357,5.0832767,11.822138,-4.1581855,12.292948,2.7019284,10.677966,-4.620861,11.2573595,2607.800715,1447.844667,2514.350646,609.7802269,5340.523689,2384.051152,0.125349951,0.128873784,0.07518889,0.07377308,German
-235.97426,144.63704,74.60885,57.122536,7.0177374,29.784388,22.959715,26.993015,2.3742888,19.468616,3.7383766,18.218315,-12.911352,16.545248,3.2298372,15.370725,-12.996923,17.243378,1.8370411,12.967493,-8.761825,11.647211,4.2105975,9.967604,-7.6651106,11.898541,2510.953671,1491.964925,2354.928794,605.0357164,4916.248443,2336.719293,0.129715092,0.123843206,0.099158294,0.07370288,German
