mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,spec_cent_mean,spec_cent_std,spec_bw_mean,spec_bw_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,label
-294.46375,164.017,64.89042,53.619415,7.2902503,28.983992,13.045549,22.197018,1.3314748,18.67223,6.1237054,15.72451,-8.90775,18.407173,4.4983783,13.422755,-8.519331,16.822357,5.0832767,11.822138,-4.1581855,12.292948,2.7019284,10.677966,-4.620861,11.2573595,2607.8007151362517,1447.844666690193,2514.3506461422826,609.7802268793683,5340.523688669626,2384.0511519005754,0.12534995051583495,0.12887378432623703,0.07518889,0.07377308,German
-235.97426,144.63704,74.60885,57.122536,7.0177374,29.784388,22.959715,26.993015,2.3742888,19.468616,3.7383766,18.218315,-12.911352,16.545248,3.2298372,15.370725,-12.996923,17.243378,1.8370411,12.967493,-8.761825,11.647211,4.2105975,9.967604,-7.6651106,11.898541,2510.9536714647893,1491.9649247181778,2354.928794230208,605.0357164064467,4916.248443452688,2336.719293166133,0.12971509151050248,0.12384320557510375,0.099158294,0.07370288,German
-261.17563,161.65059,70.97283,57.144196,2.5933743,30.729612,14.952283,25.957571,-2.549155,19.442915,2.5501337,17.460018,-11.644061,16.893427,3.8235407,15.195514,-10.134016,16.44979,1.7782645,12.243297,-8.904232,11.867882,4.2121587,9.773539,-7.1737432,11.298989,2429.945612056304,1586.8709433843237,2246.258584507751,784.1839721119311,4730.6982013840525,2547.7134815453796,0.12754283196130123,0.13106803108053208,0.08259906,0.06576319,German
-292.25208,167.12529,66.5573,55.535378,6.897819,27.76907,17.412458,24.969742,0.08820268,18.676775,4.923518,16.38189,-7.852317,17.594864,5.3408756,13.763282,-7.484638,17.43532,3.3135538,12.632623,-7.1967196,12.782272,4.1507835,9.998101,-6.323101,11.802313,2464.044595641826,1471.338533461417,2380.8807162471444,696.0199027256364,4986.767143711077,2383.5438673078966,0.11995114484480032,0.12211958152756493,0.06828633,0.06167693,German
-274.64127,157.81721,71.780014,58.21321,5.7402554,28.662575,18.83747,25.84311,-0.59236884,19.321747,3.4995494,16.347517,-9.346921,15.959122,5.7472773,14.438417,-10.253751,15.772342,0.9975405,12.472265,-7.7664576,11.054949,3.8015885,10.606328,-6.364454,10.765322,2276.596104719195,1584.4981159902627,2174.7415970844545,809.6271461913068,4451.750256890716,2555.9568270269265,0.11747007978723405,0.13271893659691983,0.07045536,0.055296402,German
-292.6173,151.37682,68.674866,56.68288,9.46944,27.898151,20.995956,24.74445,3.2630792,19.128222,6.890024,15.589017,-10.115039,16.89814,1.783177,15.12622,-10.480206,16.889225,4.335462,11.900419,-5.2915196,11.169621,2.253269,11.564302,-4.3666162,10.947509,2431.938624524139,1510.6531040841705,2330.191150930033,693.5259938189793,4831.196670958449,2451.8261836145393,0.12469409355047885,0.13184487061848013,0.06621217,0.05761731,German
-245.87802,145.35597,77.16775,57.094032,6.5114365,28.537611,19.041988,25.475456,1.4191564,19.044285,6.1634235,17.326702,-12.583051,17.294338,0.23164943,15.173128,-13.683688,16.905956,3.032544,12.736655,-6.8975577,11.229422,3.973281,10.138822,-9.229328,11.989409,2503.993375205907,1601.9143864674165,2312.107750991296,658.6719728070656,4814.963484171119,2522.685633478594,0.13441049457498108,0.13134942005405245,0.08853634,0.06494161,German
-257.82318,159.69028,65.99243,57.421772,9.219455,29.606678,20.076563,26.159426,2.3805835,18.395834,4.862155,16.840767,-12.360922,17.633072,4.601588,14.677646,-12.387835,17.43968,3.6133604,11.833044,-7.010305,11.898053,3.9983315,10.486209,-6.3696527,11.097711,2604.8469796386207,1591.381810263282,2376.551832863078,691.996471848092,5098.65217674827,2474.1127530013964,0.13495668293210505,0.13511557137140748,0.09005445,0.07403475,German
-284.33154,169.6645,60.98962,56.091007,6.8857255,28.027275,18.167126,25.122833,1.3707812,18.773338,5.731539,15.636996,-9.934359,16.51092,2.606766,14.920714,-9.603328,17.389946,3.295066,12.569364,-7.3482623,12.491846,4.1652555,10.146848,-7.407191,12.004454,2449.109552488433,1602.9404704841768,2288.511590298297,836.7900522529237,4897.431743061626,2570.1540155577322,0.12219627161033411,0.13382554960736903,0.08100556,0.07364318,German
-235.69456,118.20864,65.706,51.909542,-42.279655,42.500748,54.200203,26.411509,-18.575531,22.82506,-6.402091,19.274542,10.217312,12.971251,-10.963676,14.21426,-33.54975,15.705113,-13.311844,14.074977,-17.4046,11.528333,3.6042247,11.541682,-18.585436,11.333814,2704.3828642704484,1179.8444427744223,1845.150791104214,460.57958534921823,4488.128478391513,1636.8417023018112,0.17902611569816054,0.10997178493308357,0.0734153,0.048434474,German
